candidate_id,seed,ticker,false_safe_count,mean_score,mean_actual
trial006_c_balanced,123,GS,318,0.042211294174194336,-0.043643876910209656
trial006_c_balanced,123,APH,318,0.04619411751627922,-0.0500233955681324
trial006_c_balanced,123,NRG,306,0.055952295660972595,-0.05109114572405815
trial006_c_balanced,123,STX,305,0.157766193151474,-0.054804254323244095
trial006_c_balanced,123,C,304,0.062484413385391235,-0.04565845802426338
trial006_c_balanced,123,NEM,303,0.07151094079017639,-0.05895938351750374
trial006_c_balanced,123,TKO,302,0.03980148583650589,-0.04325904697179794
trial006_c_balanced,123,MU,291,0.1144518256187439,-0.06315716356039047
trial006_c_balanced,123,IBM,290,0.03466654568910599,-0.04216878116130829
trial024_c_risk,7,SATS,517,0.11882010102272034,-0.06350727379322052
trial024_c_risk,7,RCL,487,0.06569967418909073,-0.051700811833143234
trial024_c_risk,7,CVNA,444,0.1210574060678482,-0.0719379112124443
trial024_c_risk,7,CIEN,413,0.106142058968544,-0.062302060425281525
trial024_c_risk,7,IBKR,410,0.08045210689306259,-0.04947308823466301
trial024_c_risk,7,COHR,394,0.06657921522855759,-0.07274031639099121
trial024_c_risk,7,RL,389,0.05432474613189697,-0.042986880987882614
trial024_c_risk,7,FIX,388,0.0886935368180275,-0.060066450387239456
trial024_c_risk,7,LITE,384,0.11406919360160828,-0.06591371446847916
trial024_c_risk,7,UAL,374,0.07786893844604492,-0.05759388208389282
trial024_c_risk,7,WFC,368,0.04668654501438141,-0.0429767407476902
trial024_c_risk,7,BKR,366,0.03705165535211563,-0.04628343880176544
trial024_c_risk,7,INCY,366,0.03085104376077652,-0.04474252834916115
trial024_c_risk,7,EXPE,363,0.029264282435178757,-0.05196128785610199
trial024_c_risk,7,CCL,361,0.03547292947769165,-0.049932338297367096
trial024_c_risk,7,GE,361,0.0977054089307785,-0.04395556077361107
trial024_c_risk,7,IBM,349,0.04489114135503769,-0.044260360300540924
trial024_c_risk,7,LUV,349,0.04161657765507698,-0.04836435988545418
trial024_c_risk,7,NEM,344,0.08068644255399704,-0.060039591044187546
trial024_c_risk,7,TPR,339,0.10420963168144226,-0.0486237108707428
trial024_c_risk,7,GM,335,0.04168976843357086,-0.04200386628508568
trial024_c_risk,7,NRG,335,0.0633210688829422,-0.05252986028790474
trial024_c_risk,7,EBAY,331,0.028299832716584206,-0.04946724697947502
trial024_c_risk,7,WDC,327,0.16158173978328705,-0.05618347227573395
