row_type,trial_number,classification,objective_score,seed,patch_geometry,lr,weight_decay,dropout,lambda_direction,line_gate_pass,val_ic,val_spread,val_fee,val_false_safe,val_severe,val_h1_false_safe,val_stress_false_safe,val_breadth_false_safe,test_ic,test_spread,test_fee,test_false_safe,test_severe,warnings,checkpoint_path
trial,20,탈락 후보,0.9377847097954765,123,p24_s12,0.0016025017204561128,0.00011826394415739296,0.1,0.05,True,0.04460703281828065,0.00899339990961139,33.48628572928759,0.29979633876624473,0.694401731305883,0.306283631314008,0.2448377581120944,0.2846810193818161,0.043607767875246825,0.006940295674766237,6.9163689203386625,0.3391818991253339,0.6624030480337461,"h1_false_safe_worse,stress_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-be7474b73a0b.pt
trial,13,C-balanced 후보,0.9124026529625973,123,p32_s16,0.0007591771286276013,0.0007355688267679723,0.1,0.2,True,0.05409412961285572,0.008004292120015435,20.523387095497597,0.27731190513704823,0.7114015604533288,0.2752126366950182,0.22713864306784662,0.25128552862067016,0.04444034809164123,0.00592088001751575,4.842011063428374,0.3268795428225586,0.673906444623549,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-18456f52dd9f.pt
trial,0,탈락 후보,0.8531216099020603,123,p32_s16,0.001737659106673965,0.00040825069526154487,0.15,0.1,True,0.03995795316821399,0.008115477892058418,28.47593606482996,0.29500533954237496,0.6945013952958596,0.3012787131863681,0.2359882005899705,0.2703848109849127,0.041423898290296905,0.005828469852271067,4.221823805476967,0.3629660666794695,0.6399091451479532,stress_false_safe_worse,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-b71df1af07f1.pt
trial,23,탈락 후보,0.8279914213843447,123,p24_s12,0.0006860123987420378,3.1055648161693534e-05,0.15,0.15,True,0.04244437664834159,0.008197985170882497,24.024444387351426,0.29517457094005123,0.6972777493023521,0.31227217496962334,0.2448377581120944,0.27490535118946713,0.04336948622390879,0.006692283151101353,6.736556205374629,0.3408113502912644,0.6604770926447345,"h1_false_safe_worse,stress_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-268132596385.pt
trial,4,C-risk 후보,0.757397165490756,123,p32_s16,0.0009308606861922266,1.822715395025153e-05,0.05,0.15,True,0.04653385617815176,0.006754862365748881,7.547589624489852,0.2697723545922982,0.7190329745429694,0.27570444945900596,0.21238938053097345,0.24693450867378652,0.04600930761726766,0.006400246136063239,5.801351839594759,0.32007658420479873,0.6781875085045584,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-c2b68f47d530.pt
trial,10,C-risk 후보,0.7489240949111715,123,p32_s16,0.0013699630883763259,1.9424195742527986e-05,0.1,0.2,True,0.04690963073328419,0.006934873776644354,10.733029263374894,0.27838564917747705,0.7110313799191298,0.2761962622229937,0.2153392330383481,0.25377182573317514,0.04471968178764763,0.0056603424413562975,4.176211618008975,0.3189708851993459,0.681987083538315,,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-3c22ce69e792.pt
trial,2,탈락 후보,0.6820204078060623,123,p24_s12,0.0006184702237057494,0.0006544727572987518,0.08,0.3,True,0.046438332412699346,0.007595245750365869,15.357599707535297,0.3014536393503849,0.6873825388689561,0.323120985939941,0.2536873156342183,0.28439848561903147,0.041944811977360774,0.006199656306477815,5.510303163541822,0.3470032647218003,0.6526581324513016,"h1_false_safe_worse,stress_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-1713439497c0.pt
trial,21,탈락 후보,-18.956259170616104,123,p16_s8,0.001298185606972647,9.758368796214249e-05,0.15,0.15,True,0.05226257722871522,0.01298541593860666,893.3425043974228,0.38969322432497094,0.5990944814624979,0.3776832725799919,0.3008849557522124,0.3581397977058258,0.028892352806006598,0.0046675765058260725,2.5374444274323094,0.37934205089707107,0.6208484670860505,"false_safe_guard,severe_guard,h1_false_safe_worse,stress_false_safe_worse,breadth_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-2baaeae354de.pt
trial,29,탈락 후보,-19.03835599402602,123,p16_s8,0.0019095074782695236,0.0001607236253514611,0.18,0.05,True,0.0404942580839219,0.011737632845925732,584.1847243035799,0.3437848310312028,0.6439575146648442,0.3459179540589018,0.24188790560471976,0.3162117873085834,0.03018093207779421,0.005008759683835069,4.001593790703467,0.3384719239744642,0.6612516616598805,"false_safe_guard,severe_guard,h1_false_safe_worse,stress_false_safe_worse,breadth_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-c515e62e1706.pt
trial,25,탈락 후보,-19.095475035681957,123,p32_s16,0.001510717984577965,8.860605911706455e-05,0.18,0.2,True,0.03716150490033819,0.010481078656454076,193.7251231220463,0.3774035235144109,0.6120650378723161,0.3673552045362495,0.2536873156342183,0.34774255523535064,0.03228621180376616,0.005257905284199228,3.8234596622736188,0.37987744199444823,0.6214032259752766,"false_safe_guard,severe_guard,h1_false_safe_worse,stress_false_safe_worse,breadth_false_safe_worse",ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-52268e588c8a.pt
